date,direct_radiation,wind_direction_80m,wind_speed_80m,temperature_2m,relative_humidity_2m,precipitation,real_power
2024-11-11 00:00:00,0.0,178.12650558536234,30.78165033333333,4.016666666666667,69.33333333333333,0.0,151.74
2024-11-11 00:15:00,0.0,179.6114310159685,30.38691533333333,3.966666666666667,70.33333333333333,0.0,152.54
2024-11-11 00:30:00,0.0,181.49047617653983,29.893950666666665,3.9166666666666674,71.0,0.0,152.04
2024-11-11 00:45:00,0.0,183.02347934326087,29.542914,3.883333333333333,72.33333333333333,0.0,155.34
2024-11-11 01:00:00,0.0,184.34135149122588,29.32728333333333,3.85,73.0,0.0,155.54
2024-11-11 01:15:00,0.0,186.0712627758266,29.369636666666665,3.85,74.0,0.0,158.04
2024-11-11 01:30:00,0.0,187.22409826621143,29.659657,3.9,74.33333333333333,0.0,163.54
2024-11-11 01:45:00,0.0,188.6987558463213,30.20583333333333,3.9166666666666665,74.66666666666667,0.0,156.64
2024-11-11 02:00:00,0.0,189.37334718535925,30.60652533333333,3.9333333333333336,75.33333333333333,0.0,151.44
2024-11-11 02:15:00,0.0,189.9655540435795,31.234777,3.9333333333333336,76.0,0.0,151.44
2024-11-11 02:30:00,0.0,190.06005807294184,32.064038333333336,3.9166666666666665,76.66666666666667,0.0,149.04
2024-11-11 02:45:00,0.0,190.0390990300619,32.906170333333336,3.883333333333333,77.33333333333333,0.0,144.44
2024-11-11 03:00:00,0.0,190.6408086873047,33.657121000000004,3.883333333333333,78.0,0.0,140.74
2024-11-11 03:15:00,0.0,191.30293255192456,34.172951000000005,3.9,78.66666666666667,0.0,141.44
2024-11-11 03:30:00,0.0,191.97774946681253,34.571297333333334,3.9333333333333336,79.66666666666667,0.0,142.34
2024-11-11 03:45:00,0.0,192.5605137132981,34.88226866666666,3.966666666666667,80.0,0.0,151.04
2024-11-11 04:00:00,0.0,193.30369049606395,35.05063466666667,4.0,80.66666666666667,0.0,147.34
2024-11-11 04:15:00,0.0,194.32558259792776,35.018397666666665,4.033333333333333,81.66666666666667,0.0,151.64
2024-11-11 04:30:00,0.0,195.04220898746053,34.70391266666667,4.066666666666666,82.0,0.0,156.14
2024-11-11 04:45:00,0.0,195.65548371184428,34.43062066666666,4.116666666666667,83.0,0.0,148.44
2024-11-11 05:00:00,0.0,196.483550542753,34.25578433333333,4.166666666666667,83.33333333333333,0.0,145.94
2024-11-11 05:15:00,0.0,197.2375836650926,34.31987233333333,4.266666666666667,83.66666666666667,0.0,144.04
2024-11-11 05:30:00,0.0,197.9864503021716,34.574036666666665,4.383333333333333,84.0,0.0,128.24
